ID,letter,phrase,type,meaning
1,A,¡a cobrar los giles!,turf.,"Expresión de triunfo antes de que el mismo se produzca, en una carrera de caballos."
2,A,acoplarse,pop.,"Agregarse juntarse un hombre con una mujer (YAC.), unirse (YAC.)."
3,A,amachimbrarse,pop.,"Amancebarse, juntarse un hombre y una mujer."
4,A,apuntar,pop.,"Cautivar (YAC.), seducir (YAC.), conquistar un hombre a una mujer o viceversa, cortejar, galantear, enamorar, requebrar indicar (LCV), señalar algo (LCV) alcahuetar (JFP), delatar (jgo.) poner a una carta una apuesta determinada."
5,A,¡a dedo tiznado!,pop.,"Voz de desafío en un simulacro de duelo a cuchillo. (por tiznarse un dedo para marcar con él la cara del adversario, en simulación de una herida inferida, de haberse usado cuchillo)."
6,A,acoquinado/da,pop.,"Atemorizado, asustado, acobardado, desanimado."
7,A,amadrinar,rural.,Adiestrar a un caballo para que siga a la yegua madrina (TG.).
8,A,apuntar a la cabeza,pop.,"Dirigirse a la persona indicada, para resolver una situación."
9,A,¡a este lo saco bueno!,pop.,Alusión a la esperanza que se tiene sobre las posibilidades de éxito o triunfo de alguien al que se ha contribuído a formar.
10,A,acoquinar,pop.,"Acobardar, atemorizar, asustar, amilanar, hacer perder el ánimo."
11,A,amague,futb.,Finta en el fútbol.
12,A,apuntar alto,pop.,Tener pretensiones exageradas o desmedidas.
13,A,¡a la flauta!,pop.,"Expresión de admiración, fastidio, irritación, resignación o sorpresa."
14,A,acoquinarse,pop.,"Acobardarse, atemorizarse, asustarse, amilanarse, desanimarse."
15,A,amainar,pop.,"Cobijar, parar."
16,A,apuntar un quía,lunf.,Obtener una prostituta un cliente.
17,A,¡a la marosca!,,Igual que ¡A la madona!
18,A,acordeona,pop.,Acordeón.
19,A,amalevarse,pop.,Hacerse malevo.
20,A,apuntarse,pop.,"Atreverse (LCV) apoderarse de alguna cosa sin previo aviso (JFP) sentarse a la mesa de un amigo o no (JFP), invitarse a comer, etc. en compañía de alguien (JFP) prepararse (YAC)."
21,A,¡a la pelotita!,pop.,¡Caramba!
22,A,acordinada de choro,lunf.,Mujer del ladrón (AD).
23,A,amancebarse,pop.,Unirse un hombre y una mujer fuera de matrimonio. Igual que Amachimbrarse.
24,A,apuntarse un poroto,pop.,"Anotarse un punto o un tanto en un juego tener un acierto en cualquier actividad causar buena impresión, quedar bien atreverse (LCV)."
25,A,¡a la pindonga!,pop.,Exclamación de asombro o sorpresa.
26,A,acordinado/da,lunf.,Igual que Acodinado/da.
27,A,amansador,lunf.,Canflinflero que maltrata a su querida (JFP).
28,A,apunte,pop.,"Prestar atención a lo que se hace, dice o enseña (LCV), atención que se tiene a una persona (JAS) conquista amorosa corresponder espontáneamente (JFP)."
29,A,¡a la pipeta!,pop.,Igual que ¡A la flauta!
30,A,acordinarse,lunf.,"Igual que Acodinarse, unirse (JFP)."
31,A,amansadora,pop.,"Antesala prolongada, demora excesiva en una audiencia, gestión o trámite, espera."
32,A,apuradazo/za,pop.,Muy apurado.
33,A,¡a la pucha!,pop.,Igual que ¡A la flauta!
34,A,acorralado/da,lunf.,"Cercado, próximo a ser detenido encerrado."
35,A,amareti,ital. Amaretti,"Igual que Amaro (JFP), bizcochito de almendras."
36,A,apurar,pop.,Obligar.
37,A,¡a macho!,pop.,Expresión que se dirige a quien actúa con valor y coraje (LCV.).
38,A,acorralar,lunf.,"Cercar encerrar confundir en forma que no se puede responder acobardar, intimidar."
39,A,amargado/da,pop.,"Afligido, triste, descontento persona de mal carácter persona que guarda algún resentimiento por disgustos o frustraciones persona poco afecta a participar en reuniones persona que se queja o lamenta en forma contínua."
40,A,aquerenciar,pop.,Hacer tomar querencia a un lugar (TC.).
41,A,¡a mi juego me han llamado!,pop.,"Expresión con la que se da a entender que lo que nos ha sido propuesto es de nuestro agrado, porque lo conocemos, y por ello lo aceptamos."
42,A,acostar,lunf.,Aplicar corriente eléctrica a una persona.
43,A,amargar,pop.,Importunar.
44,A,arañando,pop.,"Con dificultad, a duras penas."
45,A,¡a mi nadie me toca el culo!,pop.,Expresión alusiva a que no consentiremos ninguna falta de respeto o consideración.
46,A,acovacharse,ejérc.,Eludir la instrucción militar escondiéndose.
47,A,amargo/ga,pop.,"Igual que Amargado/da persona áspera persona cobarde o floja, pusilánime, miedosa mate cebado sin azúcar, mate en general."
48,A,arañar,lunf.,"Robar. (pop.) Recoger con mucho afán, de varias partes y en pequeñas porciones, lo necesario para algún fin."
49,A,¡a papa!,pop.,Expresión de autosuficiencia o de incredulidad.
50,A,acoyarado/da,lunf.,Igual que Acollarado/da.
51,A,amarguear,pop.,Tomar mate sin azúcar.
52,A,arañon,pop.,Tajo que se aplica al adversario.
53,A,¡aca te quiero ver escopeta!,pop.,"Expresión alusiva a la existencia de una situación inesperada, difícil de resolver o superar."
54,A,acoyararse,lunf.,Igual que Acollararse.
55,A,amargura,pop.,"Aflicción, disgusto, tristeza."
56,A,araquistun/na,lunf.,"Desconfiado, incrédulo, precavido."
57,A,¡acabala farolito!,pop.,Expresión de desagrado para poner fin a una conversación.
58,A,acrilico,drog.,Droga L.S.D..
