region,attribute
Sweden,Tiene el mejor sistema educativo
Argentina,despenalizar del aborto es malo para las mujeres
Venezuela,hay discriminación laboral
United Kingdom,Tiene los mejores jugadores de futbol
Russia,Sus politicos gestionan mejor el país
Venezuela,la pobreza es común
Argentina,Hay carrera laboral para los desarrolladores de software
China,los nacidos allí son más inteligentes
Germany,tienen más oportunidades laborales dignas
Germany,tienen un buen manejo del dinero
Spain,son bromistas
Bolivia,gastan más dinero
United States,educación de buena calidad
Nigeria,las carreras con matemáticas son más difíciles
Colombia,las personas son más feas
Japan,son estudiosos
United States,hablan mejor inglés
Germany,formal
Italy,buenos avances tecnológicos
Pakistan,en contra de la eutanasia
Argentina,arrogante
Japan,son más inteligentes
United States,mayor cantidad de psicólogos per capita
Greece,en contra de la eutanasia
China,los mejores expertos desarrolladores de software
Japan,trabajan duro
United States,inteligentes en matemática
Argentina,menos discriminados
Italy,tienen estudios de nivel superior
Argentina,más tratamientos estéticos
China,menos problemas económicos
France,cocinan platillos elaborados
Spain,aprueban la pena de muerte
Argentina,cine vulgar
China,excelentes cocineras
Argentina,menos desarrollo intelectual
United States,manda en el mundo
China,juguetes de mala calidad
France,educación de calidad
Bolivia,xenófobo
Iran,terroristas
Japan,estudiosos
Uruguay,no contratan mujeres
Russia,homosexuales responsables en el cuidado del medio ambiente
Peru,no se cuidan
Argentina,choros
China,sucios
Argentina,hombres no lloran
Bolivia,discriminados
Peru,tienen verdulería en Argentina
Bolivia,hay más choros
Uruguay,hay más choros
Argentina,docentes
Argentina,mayoría de hinchas de Talleres
Bolivia,mejores en su trabajo
United States,manejan mejor la plata
Argentina,manejan mejor la plata
Colombia,inseguro
United Kingdom,mejores médicos
Mexico,son mas trabajadores
Germany,manejan bien la plata
Argentina,los docentes argentinos tienen más estrategias de enseñanza que los docentes europeos
Bolivia,no les gustan los conflictos
Argentina,se destacan en fútbol
China,son los más ingeniosos
Bolivia,dan mejores consejos
Russia,manejan bien la plata
Argentina,los periodistas son exagerados
Bolivia,manejan bien la plata
