region,attribute
Sweden,Tem o melhor sistema educacional
Argentina,descriminalizar o aborto é ruim para as mulheres
Venezuela,há discriminação no trabalho
United Kingdom,Tem os melhores jogadores de futebol
Russia,Seus políticos administram melhor o país
Venezuela,a pobreza é comum
Argentina,Há carreira de trabalho para desenvolvedores de software
China,os nascidos lá são mais inteligentes
Germany,têm mais oportunidades de trabalho dignas
Germany,têm um bom gerenciamento de dinheiro
Spain,são brincalhões
Bolivia,gastam mais dinheiro
United States,educação de boa qualidade
Nigeria,as carreiras com matemática são mais difíceis
Colombia,as pessoas são mais feias
Japan,são estudiosos
United States,falam melhor inglês
Germany,formal
Italy,bons avanços tecnológicos
Pakistan,contra a eutanásia
Argentina,arrogante
Japan,são mais inteligentes
United States,maior quantidade de psicólogos per capita
Greece,contra a eutanásia
China,os melhores especialistas desenvolvedores de software
Japan,trabalham duro
United States,inteligentes em matemática
Argentina,menos discriminados
Italy,têm estudos de nível superior
Argentina,mais tratamentos estéticos
China,menos problemas econômicos
France,cozinham pratos elaborados
Spain,aprovam a pena de morte
Argentina,cinema vulgar
China,excelentes cozinheiras
Argentina,menos desenvolvimento intelectual
United States,manda no mundo
China,brinquedos de má qualidade
France,educação de qualidade
Bolivia,xenófobo
Iran,terroristas
Japan,estudiosos
Uruguay,não contratam mulheres
Russia,homossexuais responsáveis no cuidado do meio ambiente
Peru,não se cuidam
Argentina,ladrões
China,sujos
Argentina,homens não choram
Bolivia,discriminados
Peru,têm quitanda na Argentina
Bolivia,há mais ladrões
Uruguay,há mais ladrões
Argentina,professores
Argentina,maioria de torcedores do Talleres
Bolivia,melhores em seu trabalho
United States,lidam melhor com dinheiro
Argentina,lidam melhor com dinheiro
Colombia,inseguro
United Kingdom,melhores médicos
Mexico,são mais trabalhadores
Germany,lidam bem com dinheiro
Argentina,os professores argentinos têm mais estratégias de ensino que os professores europeus
Bolivia,não gostam de conflitos
Argentina,se destacam no futebol
China,são os mais engenhosos
Bolivia,dão melhores conselhos
Russia,lidam bem com dinheiro
Argentina,os jornalistas são exagerados
Bolivia,lidam bem com dinheiro
