ID,NOMBRE,NOMBRE2,LOCALIDAD,DEPARTAMENTO,JURISDICCIÓN,CUE ANEXO,DOMICILIO
0,Perspectivas Feministas de la IA,Perspectivas Feministas de la IA,,,,,
2,10 DE JUNIO,10 DE JUNIO,RIO CUARTO,RIO CUARTO,CÓRDOBA,140542400,EL SALVADOR 850 VALACCO RIO CUARTO
3,12 DE OCTUBRE,12 DE OCTUBRE,CAMPO FALCO,RIO SEGUNDO,CÓRDOBA,140165000,CALLE PUBLICA S/N°   CAMPO FALCO P/SANTIAGO TEMPLE
4,12 DE OCTUBRE,12 DE OCTUBRE,BAJO HONDO,RIO PRIMERO,CÓRDOBA,140186200,CALLE PUBLICA S/N    BAJO HONDO P/LA PUERTA
5,12 DE OCTUBRE,12 DE OCTUBRE,TRES ARBOLES,CRUZ DEL EJE,CÓRDOBA,140253300,RUTA PROV. Nº15   TRES ARBOLES - VILLA DE SOTO
6,20 DE JUNIO,20 DE JUNIO,PEDANIA YUCAT,GENERAL SAN MARTIN,CÓRDOBA,140058800,CALLE PUBLICA S/N    PEDANIA YUCAT P/TIO PUJIO
7,20 DE JUNIO,20 DE JUNIO,PAMPA DE ACHALA,SAN ALBERTO,CÓRDOBA,140268200,CALLE PUBLICA   PARAJE GIULIO CESARE P/PAMPA DE ACHALA
8,24 DE SETIEMBRE,24 DE SETIEMBRE,NO FIGURA EN TABLA,GENERAL SAN MARTIN,CÓRDOBA,140075200,CALLE PUBLICA S/N    CAMPO LA ATALAYA P/PASCO
9,24 DE SETIEMBRE,24 DE SETIEMBRE,LA PARA,RIO PRIMERO,CÓRDOBA,140186000,CALLE PUBLICA S/N    PARAJE LAGUNA DE ANSENUZA P/LA PARA
10,25 DE MAYO,25 DE MAYO,CAMPO CRESPO P/BALLESTERS,UNION,CÓRDOBA,140056600,CALLE PUBLICA S/N    CAMPO CRESPO
11,25 DE MAYO,25 DE MAYO,PINTOS,PUNILLA,CÓRDOBA,140067800,CALLE PUBLICA   PARAJE PINTOS P/LA CUMBRE
12,25 DE MAYO,25 DE MAYO,CERRO BOLA,MINAS,CÓRDOBA,140138900,CALLE PUBLICA S/N°   CERRO BOLA P/LA ARGENTINA
13,25 DE MAYO,25 DE MAYO,SAN LUIS,RIO SECO,CÓRDOBA,140208100,CALLE PUBLICA   SAN LUIS
14,25 DE MAYO,25 DE MAYO,CERRO COLORADO,CALAMUCHITA,CÓRDOBA,140236700,CALLE PUBLICA S/N°   CERRO COLORADO
15,25 DE MAYO,25 DE MAYO,COLONIA LAS LOMAS,SAN JUSTO,CÓRDOBA,140325000,CALLE PUBLICA S/N°   LAS LOMAS P/ARROYITO
16,25 DE MAYO,25 DE MAYO,EL PINO,SAN JUSTO,CÓRDOBA,140360900,CALLE PUBLICA S/N    CAMPO EL PINO P/LAS VARILLAS
17,9 DE JULIO,9 DE JULIO,ANA ZUMARAN,GENERAL SAN MARTIN,CÓRDOBA,140087700,CALLE PUBLICA S/N    COLONIA EX-INTERNACIONAL P/ANA ZUMARAN
18,9 DE JULIO,9 DE JULIO,CAMPO BAUDIN,RIO SEGUNDO,CÓRDOBA,140115700,CALLE PUBLICA S/N°   CAMPO BAUDIN P/EST.CALCHÍN
19,9 DE JULIO,9 DE JULIO,CHAÑARITOS,RIO CUARTO,CÓRDOBA,140169200,CALLE PUBLICA   CHAÑARITOS P/SAMPACHO
20,9 DE JULIO,9 DE JULIO,LA AGUADA,TOTORAL,CÓRDOBA,140190900,CALLE PUBLICA   LA AGUADA
21,9 DE JULIO,9 DE JULIO,LA COSTA,RIO SECO,CÓRDOBA,140208900,CALLE PUBLICA S/N   LA COSTA P/VILLA MA. DE RIO SECO
22,9 DE JULIO,9 DE JULIO,EL PORTEZUELO,SAN JAVIER,CÓRDOBA,140219200,CALLE PUBLICA S/N°   EL PORTEZUELO P/LUYABA
23,9 DE JULIO,9 DE JULIO,TRINCHERA,SAN JUSTO,CÓRDOBA,140261300,CALLE PUBLICA S/N    PARAJE LA TRINCHERA P/ LAS VARILLAS
24,ADELINA ROMERO DE JUAREZ,ADELINA ROMERO DE JUAREZ,OJO DE AGUA,TULUMBA,CÓRDOBA,140409400,CALLE PUBLICA   OJO DE AGUA P/VILLA TULUMBA
25,ADOLFO ALSINA,ADOLFO ALSINA,CAÑADA DEL SAUCE,CALAMUCHITA,CÓRDOBA,140232100,FRANCISCO CESAR   VILLA CAÑADA DEL SAUCE P/BERROTARAN
