source_country,non_stereotype,stereotype,unsure,mean_offensive_score,identity,attribute,row_count,translated_identity,translated_attribute_list,identity_country_name
Argentina,0,3,0,2.5,Ecuador,guerra,13,Ecuador,guerra,Ecuador
Argentina,0,3,0,2.5,Finland,frio,13,Finland,frio,Finland
Argentina,0,3,0,2.5,Ecuador,bananas,13,Ecuador,bananas,Ecuador
Argentina,0,3,0,2.5,Cuba,habanos,13,Cuba,habanos,Cuba
Argentina,0,3,0,2.5,Argentina,mate,13,Argentina,mate,Argentina
Argentina,0,3,0,2.5,Argentina,choripan,13,Argentina,choripan,Argentina
Argentina,0,3,0,2.5,Ecuador,playa,13,Ecuador,playa,Ecuador
Argentina,0,3,0,2.5,Costa Rica,alto consumo de platanos,13,Costa Rica,alto consumo de platanos,Costa Rica
Argentina,0,3,0,2.5,Norway,comen pescado,13,Norway,comen pescado,Norway
Argentina,0,3,0,2.5,Brazil,Diversión,13,Brazil,Diversión,Brazil
Argentina,0,3,0,2.5,Switzerland,solidarios,13,Switzerland,solidarios,Switzerland
Argentina,0,3,0,2.5,Uruguay,futbol,13,Uruguay,futbol,Uruguay
Argentina,0,3,0,2.5,Bolivia,serrano bobo,13,Bolivia,serrano bobo,Bolivia
